"UPM","VIV_SEL","HOGAR","N_REN","EDAD","SEXO","REGION","TLOC","EST_DIS","UPM_DIS","FAC_PER","GRA","NIV","P3_1","P3_10_1","P3_10_2","P3_10_3","P3_10_4","P3_10_5","P3_11","P3_12","P3_2","P3_3","P3_5","P3_6","P3_7","P3_8A","P3_8B","P3_9","P4_1","P4_2","P4_3","P4_4_1","P4_4_2","P4_4_3","P4_4_4","P4_4_5","P4_4_6","P4_4_7","P4_5","P4_6_1","P4_6_2","P4_6_3","P4_6_4","P4_6_5","P4_6_6","P4_7","P4_8_1","P4_8_2","P4_8_3","P4_8_4","P4_9_1","P4_9_2","P4_9_3","P5_10_1","P5_10_2","P5_10_3","P5_10_4","P5_10_5","P5_10_6","P5_10_7","P5_10_8","P5_11_1","P5_11_2","P5_11_3","P5_11_4","P5_11_5","P5_11_6","P5_11_7","P5_11_8","P5_12_1","P5_12_2","P5_12_3","P5_12_4","P5_12_5","P5_13_1","P5_13_2","P5_13_3","P5_13_4","P5_13_5","P5_13_6","P5_13_7","P5_13_8","P5_14_1","P5_14_2","P5_14_3","P5_14_4","P5_14_5","P5_14_6","P5_14_7","P5_14_8","P5_14_9","P5_15","P5_16","P5_17","P5_18","P5_19","P5_1_1","P5_1_2","P5_1_3","P5_1_4","P5_1_5","P5_1_6","P5_20","P5_21","P5_22_1","P5_22_2","P5_22_3","P5_22_4","P5_22_5","P5_23","P5_24","P5_25_1","P5_25_2","P5_25_3","P5_25_4","P5_25_5","P5_26","P5_27","P5_28","P5_29","P5_2_1","P5_2_2","P5_2_3","P5_2_4","P5_2_5","P5_2_6","P5_2_7","P5_2_8","P5_2_9","P5_3","P5_30","P5_4","P5_5","P5_6","P5_7","P5_8","P5_9_1","P5_9_2","P5_9_3","P5_9_4","P5_9_5","P5_9_6","P5_9_7","P5_9_8","P6_10A_1","P6_10A_2","P6_10A_3","P6_10A_4","P6_10A_5","P6_10A_6","P6_10A_7","P6_10_1","P6_10_2","P6_10_3","P6_10_4","P6_10_5","P6_10_6","P6_10_7","P6_11_1","P6_11_2","P6_11_3","P6_12_1","P6_12_2","P6_12_3","P6_12_4","P6_12_5","P6_12_6","P6_12_7","P6_12_8","P6_12_9","P6_13","P6_14","P6_15","P6_16","P6_17_1","P6_17_2","P6_17_3","P6_17_4","P6_17_5","P6_18","P6_19_1","P6_19_2","P6_19_3","P6_19_4","P6_19_5","P6_19_6","P6_19_9","P6_1_1","P6_1_2","P6_1_3","P6_1_4","P6_1_5","P6_2_1","P6_2_2","P6_2_3","P6_2_4","P6_2_5","P6_2_6","P6_2_7","P6_2_8","P6_2_9","P6_3","P6_4","P6_5","P6_6","P6_7","P6_8_1","P6_8_2","P6_8_3","P6_8_4","P6_8_5","P6_8_6","P6_8_7","P6_8_8","P6_9_1","P6_9_2","P6_9_3","P6_9_4","P6_9_5","P6_9_6","P6_9_7","P10_1","P10_10_1","P10_10_2","P10_10_3","P10_10_4","P10_10_5","P10_10_6","P10_10_7","P10_11_1","P10_11_2","P10_12","P10_13","P10_14","P10_15_1","P10_15_2","P10_16","P10_2","P10_3_1","P10_3_2","P10_3_3","P10_3_4","P10_3_5","P10_3_6","P10_3_7","P10_4_1","P10_4_2","P10_5","P10_6_1","P10_6_2","P10_7_1","P10_7_2","P10_8","P10_9","P11_1_1","P11_1_2","P11_1_3","P11_2_1","P11_2_2","P11_2_3","P11_2_4","P11_2_9","P11_3","P11_4_1","P11_4_2","P11_4_3","P11_4_4","P11_5_1","P11_5_2","P11_5_3","P11_5_4","P11_6_1","P11_6_2","P11_6_3","P11_6_4","P12_1","P12_2","P12_3","P12_4","P13_1","P13_2_1","P13_2_2","P13_2_3","P13_2_4","P13_3_1","P13_3_2","P13_3_3","P13_4_1","P13_4_2","P13_4_3","P7_1_1","P7_1_2","P7_1_3","P7_1_4","P7_1_5","P7_1_6","P7_1_7","P8_1","P8_10_1","P8_10_2","P8_10_3","P8_10_4","P8_10_5","P8_11_1","P8_11_2","P8_11_3","P8_11_4","P8_11_5","P8_12_1","P8_12_2","P8_12_3","P8_12_4","P8_12_5","P8_13","P8_14_1","P8_14_2","P8_14_3","P8_14_4","P8_14_5","P8_2","P8_3","P8_4","P8_5","P8_6_1","P8_6_2","P8_6_3","P8_6_4","P8_6_5","P8_6_6","P8_6_7","P8_6_8","P8_7_1","P8_7_2","P8_7_3","P8_7_4","P8_7_5","P8_8_1","P8_8_2","P8_8_3","P8_8_4","P8_8_5","P8_9_1","P8_9_2","P8_9_3","P8_9_4","P8_9_5","P9_1","P9_2","P9_3","P9_4","P9_5","P9_6","P9_7","P9_8","P9_9_1","P9_9_2","P9_9_3","P9_9_4","P9_9_5","CODIGO","INF","P1_1","P1_2","P1_3"
"206656","2","1","1","40","2","1","1","9","115","7580","6","2","1","2","2","1","2","2","6","1","6","1","1",,"4","5000","1","2","1","3","4","1","2","2","1","1","1","2","1",,,,,,,"2","1","1","2","1","1","1","1",,,,"1",,,,,,,,"88",,,,,,,,"1",,,,,"1",,,,,"1","0","0","0","0","0","0","0","0",,,,"0","9","2","2","2","2","1","1",,"1","1","2","2","2","2","2",,,,,,,,,"9","2","0","0","1","0","0","0","0","0","0","2",,"1",,,,,"2","2","2","1","2","2","2","2",,"2",,"1",,,,,"1",,"1",,,,"1","1","1","0","1","0","0","0","0","0","0","0","0","1","9","2",,,,,,"2",,,,,,,,"2","2","2","2","2",,,,,,,,,,"1",,,,,"2","1","2","1","2","2","2","2",,"1",,"1",,,,"1",,,,,,,,,,,"1",,"0","5","999",,"0","1","0","0","0","1","0","0","5","0","0","10","1","2","2","7","2","2","2","1","0","0","0","0","2",,,,,,,,,,,,,"1","1","9","3","1","2","1","2","2",,"1",,,"3",,"1","1","9","1","1","1","1","2",,,,,,,,,,,,,,,,,,,,,,"2","1",,"7",,,,,,,,,,,,,,,,,,,,,,,,"1",,"4","2","4","1","3",,"2","2","2","2","2","1","1","4","1",
"206656","3","1","2","35","2","1","1","9","115","4857","3","3","2",,,,,,,"1","1","3","5","4",,,,,"2",,,"2","2","2","2","2","1","2","1",,,,,,,"2","1","1","1","3","1","1","2",,,,"1",,,,,,,,"88",,,,,,,,"1",,,,,"2",,,,,,,,,,,,,,,,,"0","3","2","2","2","2","2","2",,"2",,,,,,"2",,,,,,,,,"1","2",,,,,,,,,,"2",,"1",,,,,"2","2","2","1","2","2","2","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,,"2","2","2","2","2",,,,,,,,,,"2","2","2","7",,,,,,,,,,,,,,,,,"2",,,,,,,,,,,"1",,"0","10","0","8",,,,,,,,,,,,,,,"2","5","2","2","2","1","0","0","0","0","2",,,,,,,,,,,,,"1","2","1","3","2","2","2","2","2",,,,,,,"1","1","9","1","1","1","1","2",,,,,,,,,,,,,,,,,,,,,,"2","2","7",,,,,,,,,,,,,,,,,,,,,,,,,"1",,"3","2","5","1","1",,"2","9","1","2","2","1",,"4","1",
"206656","4","1","2","67","1","1","1","9","115","9851","3","3","5","2","2","1","2","2","1","1","2","2","1",,"2","1500","1","2","2",,,"2","1","2","2","2","2","2","1",,,,,,,"2","1","1","3","2","1","1","2",,,,"1",,,,,,,,"5",,,,,,,,"1",,,,,"1",,,,,"1","0","0","0","0","0","0","0","0",,,,"0","2","2","2","2","2","2","2",,"2",,,,,,"2",,,,,,,,,"5","2",,,,,,,,,,"1",,"1",,,,,"2","2","2","1","2","2","2","2",,,,,,,,"2",,,,,,,"1","1","1",,,,,,,,,,"88",,"2","2",,,,,,"2",,,,,,,,"2","2","2","2","2",,,,,,,,,,"1",,,,,"1","2","2","2","2","2","2","2","1",,,,,,,"2",,,,,,,,,,,"2","8",,,,"8",,,,,,,,,,,,,,,"2","8","2","2","2","1","0","0","0","0","2",,,,,,,,,,,,,"1","2","3","3","2","2","2","2","2",,,,,,,"1","1","9","9","1","1","9","2",,,,,,,,,,,,,,,,,,,,,,"2","2","4",,,,,,,,,,,,,,,,,,,,,,,,,"1",,"99",,,,,,"2","1","2","2","2","1",,"4","1",
"206684","1","1","2","35","2","1","1","10","116","5592","3","4","2",,,,,,,"1","5","2","5","4",,,,,"2",,,"1","2","2","2","2","2","2","1",,,,,,,"2","2","1","3","1","1","1","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2","2","2","2","2",,,,,,,,,,,,,,,,,,"1",,,,,,,,,,"2","9","2","2","2","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,,"2","2","2","2","2",,,,,,,,,,"2","2","2","7",,,,,,,,,,,,,,,,,"2",,,,,,,,,,,"1",,"0","5","0","1",,,,,,,,,,,,,,,"2","1","2","2","2","1","0","0","0","0","2",,,,,,,,,,,,,"1","9",,"1","2","2","1","2","2",,"1",,,"1",,"1","1","1","9","1","1","9","1",,,"3",,,,,,,,"1","2","2","2","2","1","1","2","2","1","2",,,,,"2","2","1","2","2","2","2","2",,,"1",,,,,"2",,,,,"2",,,"2","1",,,,,,,"9","1","9","1","2","1","1","4","1",
"206684","2","1","1","56","2","1","1","10","116","9209","4","5","1",,,,,,,"1","1","3","6","4",,,,,"1","2","3","2","2","1","2","2","2","2","2","2","1","2","2","2","2","2","1","2","1","1","1","1","2",,"1",,,,,,,,"88",,,,,,,,"1",,,,,"2",,,,,,,,,,,,,,,,,,,"0","1","2","2","2","2","2","2","4","2",,,,,,"2",,,,,,,,,"2","2",,,,,,,,,,"2",,"1",,,,,"2","1","2","2","2","2","2","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,,"2","2","2","2","2",,,,,,,,,,"2","2","2","7",,,,,,,,,,,,,,,,,"1","1","0","0","0","0","0","0","0","20","100","2","1",,,,,"0","0","0","0","0","1","0","0","20","30","3","0","2","2","1",,"2","2","2","1","0","0","0","0","2",,,,,,,,,,,,,"1","9",,"2","2","1","1","2","2","2","1",,"3","3",,"1","1","9","9","1","1","1","2",,,,,,,,,,,,,,,,,,,,,,"2","2","7",,,,,,,,,,,,,,,,,,,,,,,,,"1",,"8","2","6","1","1",,"2","1","2","2","2","1","1","3","1",
"206684","3","1","1","56","1","1","1","10","116","5896","5","8","1",,,,,,,"1","5","5","7",,,,,,"1","3","1","2","2","2","2","2","1","2","1",,,,,,,"2","1","1","3","2","1","1","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2","2","2","2","2",,,,,,,,,,,,,,,,,,"2",,,,,,,,,,"2",,"2","2","2","2",,,,,,,,,,,,,,,"2",,,,,,,"1",,"1","1","2",,,,,,,,,,,,,"1","1","2","2","2","2","2",,,,,,,,"2","2","2","2","2",,,,,,,,,,"2","1",,,,"2","2","2","2","2","1","2","2",,,,,,"1",,"2",,,,,,,,,,,"1",,"0","10","50","5",,,,,,,,,,,,,,,"2","6","2","2","2","1","1","0","1","0","2",,,,,,,,,,,,,"1","2","2","3","1","1","1","2","2","1","1",,"3","3",,"1","1","9","1","1","1","9","1",,,"1",,,,,,,,"1","2","2","2","2","1","1","1","1","1","2",,,,,"2","2","1","2","2","2","2","2",,,"1",,,,,"1",,,,,"1",,,"1",,"99",,,,,,"1","2","1","2","2","1","1","6","1",
"206684","4","1","2","25","2","1","1","10","116","5507","3","6","3","1","2","2","2","2","1","1","6","0","1",,"2","2000","1","1","1","2","2","2","1","2","1","2","1","2","2","1","1","2","2","2","2","1","1","1","2","3","1","1","2","1",,,,,,,,"2",,,,,,,,"1",,,,,"2",,,,,,,,,,,,,,,,,"1","2",,"8",,"2","2","1","2","2","1",,"2",,,,,,"1","1","1","2","2","1","2","5",,,"2","0","0","1","0","0","0","0","0","0","2",,"1",,,,,"1","2","2","2","2","2","2","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,,"2","2","2","1","2","0","0","1","0","0","0","0","0","0","2","2","2","7",,,,,,,,,,,,,,,,,"1","1","0","0","0","0","0","0","0","10","35","1",,"0","3","10",,"1","1","0","0","0","0","0","0","10","35","0","5","1","2","1",,"2","2","2","1","0","0","0","0","2",,,,,,,,,,,,,"1","2","3","3","2","2","1","2","2",,"1",,,"3",,"1","1","9","9","2","2","1","2",,,,,,,,,,,,,,,,,,,,,,"2","1",,"8",,,,,,,,,,,,,,,,,,,,,,,,"1",,"2","2","6","1","1",,"2","1","1","1","2","1","1","3","1",
"206690","1","1","3","36","2","1","1","9","117","8992","4","8","3",,,,,,,"1","6","1","5","4",,,,,"1","2","1","2","2","1","1","2","2","2","2","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1",,,,,,,,"5",,,,,,,,"1",,,,,"1",,,,,,,,"1","1","0","0","0","0","0","0","0","2",,,"3",,"2","2","2","2","1","2",,"2",,,,,,"1","2","2","2","2","1","2","4",,,"1","1","1","0","0","1","0","0","0","0","1","2","1",,,,,"1","2","2","2","2","2","2","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,"2","2","2","1","2","1","1","0","0","1","0","0","0","0","2","2","1",,"3",,,,,,,,,,,,,,,,"1","1","1","0","0","0","0","0","0","15","100","1",,"0","2","0",,"0","0","0","0","0","1","0","0","15","100","0","15","2","2","1",,"2","2","2","1","0","0","0","0","1","1","2","2","2","1",,,,"1",,,,"1","2","1","3","2","2","2","2","2",,,,,,,"1","1","9","9","1","1","9","2",,,,,,,,,,,,,,,,,,,,,,"2","2","3",,,,,,,,,,,,,,,,,,,,,,,,,"1",,"4","2","4","1","1",,"2","1","1","1","2","1","1","5","1",
"206690","2","1","1","58","2","1","1","9","117","2468","9","99","1",,,,,,,"1","6","0","8","4",,,,,"2",,,"1","2","2","2","2","2","2","1",,,,,,,"2","1","1","1","1","8","8","8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2","2","2","2","2",,,,,,,,,,,,,,,,,,"2",,,,,,,,,,"2",,"2","2","2","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,"2","2","2","2","2",,,,,,,,,,"2","2","2","6",,,,,,,,,,,,,,,,,"2",,,,,,,,,,,"2","2",,,,"6",,,,,,,,,,,,,,,"2","5","2","2","2","0","0","0","0","1",,,,,,,,,,,,,,"9","9",,"9","1","2","2","2","2",,,,,,,"1","1","9","9","9","1","9","2",,,,,,,,,,,,,,,,,,,,,,"2","2","7",,,,,,,,,,,,,,,,,,,,,,,,,"2","5",,,,,,,"2","2","2","2","1","1","1","4","1",
"206690","3","1","6","19","2","1","1","9","117","13284","3","6","3",,,,,,"6","1","6","0","4","2","2","99888",,,"2",,,"2","2","2","1","2","2","2","1",,,,,,,"2","2","2","2","2","1","2","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2","2","2","2","1",,,,,,,,,,,,,,,,,,"1","0","0","0","0","1","0","0","0","0","2","9","2","2","2","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,"2","2","2","2","2",,,,,,,,,,"2","2","2","6",,,,,,,,,,,,,,,,,"2",,,,,,,,,,,"1",,"0","1","0","1",,,,,,,,,,,,,,,"2","1","2","2","2","1","0","0","0","0","2",,,,,,,,,,,,,"1","2","1","3","4","2","2","2","2",,,,,,,"1","1","9","9","9","9","1","2",,,,,,,,,,,,,,,,,,,,,,"2","2","7",,,,,,,,,,,,,,,,,,,,,,,,,"2","1",,,,,,,"2","1","1","2","2","1",,"7","1",
"206690","4","1","3","20","2","1","1","9","117","11070","3","4","6",,,,,,,"1","1","0","5","4",,,,,"2",,,"2","2","2","1","2","2","2","2","1","2","2","2","2","2","2","1","1","1","3","2","1","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2","2","2","2","2",,,,,,,,,,,,,,,,,,"2",,,,,,,,,,"2",,"2","2","2","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,"2","2","2","1","2","0","1","0","0","0","0","0","0","0","2","2","2","1",,,,,,,,,,,,,,,,,"2",,,,,,,,,,,"2","2",,,,"6",,,,,,,,,,,,,,,"2","5","2","2","2","1","0","0","0","0","2",,,,,,,,,,,,,"1","9",,"9","4","2","1","2","2",,"5",,,"2",,"1","1","1","9","9","9","9","2",,,,,,,,,,,,,,,,,,,,,,"2","2","4",,,,,,,,,,,,,,,,,,,,,,,,,"2","1",,,,,,,"2","2","1","1","2","1",,"5","1",
"206690","5","1","2","55","2","1","1","9","117","7405","5","8","5",,,,,,"1","1","2","0","1",,"2","99888",,,"1","3","3","1","2","2","2","2","2","2","1",,,,,,,"2","1","1","2","1","1","1","1","1",,,,,,,,"10",,,,,,,,"1",,,,,"2",,,,,,,,,,,,,,,,,"1","2",,"5",,"1","2","2","2","2","1",,"1","1","1","2","2","2","1","1","1","2","2","2","2","3",,,"1","1","1","0","0","0","0","0","0","0","1","1","1",,,,,"1","2","2","2","2","2","2","2",,,,,,,,,"2",,,,,,"1","1","2",,,,,,,,,,"88",,"2","2",,,,,,"2",,,,,,,,"2","2","2","2","2",,,,,,,,,,"1",,,,,"2","1","2","2","2","2","2","2",,"1",,,,,,"1","1","1","0","0","0","0","0","0","10","100","1",,"0","3","0",,"1","1","1","0","0","0","0","0","10","100","0","15","2","2","1",,"2","2","2","1","0","0","0","0","2",,,,,,,,,,,,,"1","2","1","3","2","2","1","2","2",,"1",,,"3",,"1","2","1","1","1","1","1","2",,,,,,,,,,,,,,,,,,,,,,"2","2","2",,,,,,,,,,,,,,,,,,,,,,,,,"1",,"2","2","1","1","1",,"2","1","2","2","2","1",,"4","1",
"206713","1","1","1","40","2","1","1","8","118","2286","3","6","1",,,,,,"5","1","2","0","1",,"2","99888",,,"1","2","5","2","2","2","2","1","2","2","1",,,,,,,"1","1","1","1","2","2","1","1",,,,"1",,,,,,,,"2",,,,,,,,"1",,,,,"1",,,,,"0","0","1","0","0","0","0","0","0",,,,"0","1","2","2","2","2","2","2","5","1","1","2","2","2","2","1","2","2","2","1","2","2","1",,,"1",,,,,,,,,,"1","9","1",,,,,"2","2","2","1","2","2","2","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,"1","2","2","2","2","0","0","1","0","0","0","0","0","0","2","2","1",,"1",,,,,,,,,,,,,,,,"1","0","0","0","1","0","0","0","0","20","60","1",,"0","5","10",,"0","0","0","0","0","0","1","0","10","100","0","15","1","2","1",,"2","2","2","1","0","0","0","0","2",,,,,,,,,,,,,"1","2","2","3","1","1","1","1","2","5","1","6","3","3","3","1","1","9","1","1","1","1","2",,,,,,,,,,,,,,,,,,,,,,"2","1",,"2",,,,,,,,,,,,,,,,,,,,,,,,"2","4",,,,,,,"2","1","1","2","2","1","1","1","1",
"206713","2","1","3","18","2","1","1","8","118","2164","3","6","4",,,,,,,"1","6","0","4","3","1",,,,"2",,,"2","2","1","1","2","1","2","1",,,,,,,"1","1","1","2","2","1","1","2",,,"1",,,,,,,,"10",,,,,,,,"2",,,,,"2",,,,,,,,,,,,,,,,,,,,"2","2","2","2","2","1",,,,,,,,"2",,,,,,,,,"9","1","0","1","0","0","0","0","0","0","0","2","9","2","1",,,,"2","2","1","2","2","2","2","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","0","0","0","1","0","0","0","2","2","2","2","2",,,,,,,,,,"2","2","2","1",,,,,,,,,,,,,,,,,"1","1","0","0","0","0","0","0","0","20","26","1",,"0","10","0",,"0","0","0","0","0","0","1","0","15","26","0","15","1","2","1",,"2","2","2","1","0","0","0","0","2",,,,,,,,,,,,,"1","2","2","3","2","2","2","2","2",,,,,,,"1","1","9","1","1","1","1","2",,,,,,,,,,,,,,,,,,,,,,"2","2","3",,,,,,,,,,,,,,,,,,,,,,,,,"2","1",,,,,,,"2","1","1","1","2","1",,"3","1",
"206713","3","1","1","61","1","1","1","8","118","17828","6","2","1",,,,,,,"2","1","2","8","4",,,,,"2",,,"2","2","1","1","2","2","2","1",,,,,,,"2","1","1","2","2","2","2","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2","2","2","2","2",,,,,,,,,,,,,,,,,,"1",,,,,,,,,,"1","9","2","2","2","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,,"2","2","2","2","2",,,,,,,,,,"2","2","2","5",,,,,,,,,,,,,,,,,"2",,,,,,,,,,,"1",,"0","5","0","1",,,,,,,,,,,,,,,"2","1","2","2","2","0","0","0","0","1",,,,,,,,,,,,,,"1","3","3","3","2","1","2","2","2","1",,,"2",,,"1","1","9","1","1","1","1","2",,,,,,,,,,,,,,,,,,,,,,"2","2","2",,,,,,,,,,,,,,,,,,,,,,,,,"1",,"4","2","1","1","1",,"1","1","2","2","2","1",,"7","1",
"206713","4","1","1","27","2","1","1","8","118","4328","3","3","2",,,,,,,"1","1","0","8","4",,,,,"2",,,"2","2","2","1","2","2","2","1",,,,,,,"2","1","1","3","1","1","1","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2","2","2","2","2",,,,,,,,,,,,,,,,,,"1",,,,,,,,,,"2","9","2","2","1",,"1",,,,,,,,,,,,,,,,"2","2",,,,,,"1","1","1",,,,,,,,,,"1",,"2","2",,,,,,"2",,,,,,,,"2","2","2","2","2",,,,,,,,,,"1",,,,,"1","1","2","2","2","2","2","2","1","1",,,,,,"1",,,,,,,,,,,"2","2",,,,,"1","0","0","0","0","0","0","0","20","30","0","1","1","2","2","8","2","2","2","1","0","0","0","0","2",,,,,,,,,,,,,"9","1","2","1","2","2","2","2","2",,,,,,,"1","1","1","1","1","1","1","2",,,,,,,,,,,,,,,,,,,,,,"2","2","7",,,,,,,,,,,,,,,,,,,,,,,,,"2","4",,,,,,,"9","1","2","1","2","1","1","4","1",
"206713","5","1","1","25","1","1","1","8","118","13481","6","2","3","2","2","1","2","2","6","1","1","2","1",,"4","1800","1","2","2",,,"1","1","1","1","2","2","2","1",,,,,,,"2","1","1","1","2","1","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","2","1","2","2","1",,,,,,,,,,,,,,,,,,"1","0","0","0","0","1","0","0","0","0","1","9","2","2","1",,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,,"2","2","1","1","2","0","0","0","1","0","0","0","0","0","2","2","2","7",,,,,,,,,,,,,,,,,"2","1","0","0","0","0","0","0","0","10","100","1",,"0","5","40","1",,,,,,,,,,,,,,,"1",,"2","2","2","0","0","0","1","0","2",,,,,,,,,,,,,"1","1","3","3","2","2","1","2","2",,"1",,,"2",,"1","1","9","1","1","1","1","2",,,,,,,,,,,,,,,,,,,,,,"2","1",,"1",,,,,,,,,,,,,,,,,,,,,,,,"9",,,,,,,,"1","1","1","1","2","1",,"8","1",
"206871","2","1","1","64","2","1","1","10","119","3325","1","8","1",,,,,,,"1","1","0","5","4",,,,,"2",,,"2","2","2","1","2","2","2","1",,,,,,,"2","2","1","3","3","1","1","2",,,,"1",,,,,,,,"15",,,,,,,,"1",,,,,"1",,,,,"1","0","0","0","0","0","0","0","0",,,,"2",,"2","2","2","2","2","1",,"2",,,,,,"1","1","2","2","2","1","2","88",,,"2","0","1","0","0","0","0","0","0","0","2",,"1",,,,,"2","2","2","1","2","2","2","2",,,,,,,,"2",,,,,,,"1","2","2",,,,,,,,,,"88",,"4","2",,,,,,"1","0","0","0","0","0","0","1","2","2","2","2","2",,,,,,,,,,"1",,,,,"1","2","2","2","2","2","2","2","1",,,,,,,"1","1","1","0","0","0","0","0","0","5","999","1",,"0","3","0",,"1","0","0","0","0","0","0","0","5","999","0","5","1","2","1",,"2","2","2","0","1","0","0","0","2",,,,,,,,,,,,,"1","1","2","3","2","1","2","2","2","1",,,"2",,,"1","1","9","9","9","9","9","2",,,,,,,,,,,,,,,,,,,,,,"2","2","7",,,,,,,,,,,,,,,,,,,,,,,,,"1",,"5","2","4","1","1",,"1","1","1","1","2","1","1","2","1",
"206871","3","1","3","32","2","1","1","10","119","5876","2","3","2",,,,,,,"1","1","0","8","4",,,,,"2",,,"1","2","2","2","2","2","2","2","1","2","2","2","2","2","2","1","1","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2","2","2","1","2",,,,,,,,,,,,,,,,,,"2","1","1","0","0","0","0","0","0","0","2",,"2","2","2","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,"2","2","2","2","2",,,,,,,,,,"2","2","2","6",,,,,,,,,,,,,,,,,"2",,,,,,,,,,,"1",,"0","2","0","1",,,,,,,,,,,,,,,"2","1","2","2","2","0","0","0","0","1",,,,,,,,,,,,,,"9","9",,"3","2","2","2","2","2",,,,,,,"1","1","9","9","1","1","9","2",,,,,,,,,,,,,,,,,,,,,,"2","2","7",,,,,,,,,,,,,,,,,,,,,,,,,"1",,"99",,,,,,"2","1","2","1","2","1","1","5","1",
"206871","4","1","1","48","2","1","1","10","119","12227","5","2","1",,,,,,,"1","1","1","5","4",,,,,"2",,,"2","2","2","1","2","2","2","1",,,,,,,"2","1","2","3","3","1","2","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2","2","2","2","2",,,,,,,,,,,,,,,,,,"2",,,,,,,,,,"1",,"2","2","2","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,,"2","2","2","2","2",,,,,,,,,,"2","2","2","6",,,,,,,,,,,,,,,,,"2",,,,,,,,,,,"1",,"0","5","0","1",,,,,,,,,,,,,,,"2","1","2","2","2","0","0","0","0","1",,,,,,,,,,,,,,"1","9",,"3","1","2","2","2","2",,,,,,,"1","1","9","9","1","9","1","2",,,,,,,,,,,,,,,,,,,,,,"2","2","4",,,,,,,,,,,,,,,,,,,,,,,,,"1",,"9","2","4","1","2","6","2","2","2","1","2","1","1","7","1",
"206871","5","1","1","41","1","1","1","10","119","5011","4","8","1","1","2","2","2","2","2","1","3","3","1",,"2","6500","2","2","2",,,"2","2","2","1","1","2","2","2","1","2","2","2","2","2","2","1","1","1","3","1","1","2","1",,,,,,,,"8",,,,,,,,"1",,,,,"2",,,,,,,,,,,,,,,,,"1","2",,"20",,"2","2","2","2","2","2",,"2",,,,,,"2",,,,,,,,,"6","2",,,,,,,,,,"1",,"1",,,,,"1","2","2","2","2","2","2","2",,,,,,,,"2",,,,,,,"9","1","1",,,,,,,,,,"88",,"9","2",,,,,,"2",,,,,,,,"2","2","2","1","2","0","1","0","0","0","0","0","0","0","1",,,,,"1","2","2","2","2","2","2","2","1",,,,,,,"1","1","1","0","0","0","0","0","0","5","50","1",,"0","5","0",,"1","1","0","0","0","0","0","0","5","50","0","30","2","2","1",,"9","2","2","1","0","0","0","0","2",,,,,,,,,,,,,"1","2","3","3","1","2","1","2","2",,"1",,,"2",,"1","2","9","1","2","2","9","1",,,,"2",,,,,"5",,,,,,,,,,,,,,,,,"2","2","2","1","2","2","2","2",,,,"2",,,,,,,,,,,,"1",,"2","2","1","2","3",,"1","1","2","2","2","1",,"2","1",
